id,question,answer,label
53,Which person left the crime scene?,Brad McCullum left the crime scene.,1
54,Who is a witness to the crime?,Miss Roberts,1
55,What did the Robertses tell the detectives?,That Brad was disturbed and had changed when he went to Peru recently.,1
58,Which song plays on at the end of the movie ?,"The song ""God Only Knows"" plays on at the end.",1
59,How does Billy suggest that he and Joe celebrate christmas ?,Billy suggests that he and Joe celebrate Christmas by getting drunk and watching porn.,1
60,What does Billy recognize ?,Billy recognizes that Joe is the love of his life.,1
61,What does Jamie realise when he returns to England ?,When Jamie returns to England he realises he is in love with Aurlia.,1
62,Who does Harriet's younger sister get struck by ?,Harriet's younger sister Carla  and Tony are immediately struck by each other.,1
63,John Gacy is charged with the rape and murder of how many young boys and men?,33,1
63,John Gacy is charged with the rape and murder of how many young boys and men?,33,1
64,Who is the investigator?,Detective Lt. Joe Kozenczak,1
65,Why isn't Kozenczak's evidence accepted?,It is viewed as being circumstantial.,1
66,Who is the suspect?,local businessman John Wayne Gacy,1
67,How many bodies are found buried throughout John Gacy's property?,29,1
67,How many bodies are found buried throughout John Gacy's property?,29,1
68,Where was the field trip to?,A mental hospital,1
69,What is the name of police Officer?,Carter Thomas,1
70,What is the name of Abby's roommate?,Lynn,1
71,What is Abby's major?,Psychology,1
72,How does Harmon work his way towards them?,Slowly and methodically,1
73,who is attempts to escape from Sid's house?,Woody attempts to escape from Sid's house.,1
74,when  Woody and Sid's mutant toy creations?,"The next morning, Woody and Sid's mutant toy creations.",1
75,Who owns the group of toys?,Andy Davis,1
76,What is the name of Sid's dog?,Scud,1
77,What is Andy's new gift that causes Woody and Buzz to share a worried smile?,a puppy,1
78,What does Buzz do when the batteries on RC run out?,He lights the rocket on his back.,1
79,Which toy feels left out?,Woody,1
80,What toy does Andy begin to Favor?,Buzz,1
81,Who is the toy's leader and Andy's favorite toy?,Sheriff Woody,1
82,Who spy on the party and report via baby monitors?,"Green army men, led by Sarge",1
83,Where does Andy go with Woody?,Pizza Planet,1
84,How do Buzz and Woody chase after the truck?,On a RC Car,1
85,who plans to launch Buzz on a firework rocket?,Sid plans to launch Buzz on a firework rocket.,1
86,Who is Colin punished and ignored by?,The Governor.,1
87,Is Colin's family wealthy?,no,1
88,where does Colin hide the money?,"in a drainpipe outside his ""prefab""",1
89,Who is running alone?,Colin Smith.,1
90,Who did Colin fall in love with?,Audrey,1
91,Where did Colin's father work?,Factory,1
92,At which public school has Ruxton been invited to participate in a five-mile cross country run?,Ranley,1
93,Who has a terminal illness?,Colin's father,1
94,Who treats Colin better than the other inmates?,The governor.,1
